Table 5,CJRS time series: number of employments furloughed by gender,,,,,,
Daily figures for furloughing supported by the Job Retention Scheme ,,,,,,,
Based on claims made by the 14 January. The December figures are provisional and may be revised due to late and amended claims.,,,,,,,
Date,"Female 
employments 
furloughed","Male 
employments 
furloughed","Employments 
furloughed where 
gender unknown",Provisional indicator,,,
"Tuesday, August 18, 2020","2,069,500","1,869,200","155,100",,,,
"Wednesday, August 19, 2020","2,067,900","1,867,800","155,000",,,,
"Thursday, August 20, 2020","2,065,900","1,866,200","155,000",,,,
"Friday, August 21, 2020","2,059,900","1,860,600","156,700",,,,
"Saturday, August 22, 2020","2,053,200","1,854,000","156,900",,,,
"Sunday, August 23, 2020","2,047,400","1,850,900","155,500",,,,
"Monday, August 24, 2020","2,035,200","1,838,300","153,700",,,,
"Tuesday, August 25, 2020","2,031,100","1,834,800","153,400",,,,
"Wednesday, August 26, 2020","2,026,000","1,831,000","153,200",,,,
"Thursday, August 27, 2020","2,022,700","1,828,600","153,200",,,,
"Friday, August 28, 2020","2,017,900","1,824,200","153,000",,,,
"Saturday, August 29, 2020","1,981,800","1,791,600","152,400",,,,
"Sunday, August 30, 2020","1,970,800","1,783,300","151,900",,,,
"Monday, August 31, 2020","1,920,900","1,742,100","148,000",,,,
"Tuesday, September 1, 2020","1,517,300","1,423,900","83,300",,,,
"Wednesday, September 2, 2020","1,517,300","1,424,000","83,300",,,,
"Thursday, September 3, 2020","1,515,700","1,423,400","83,500",,,,
"Friday, September 4, 2020","1,514,400","1,423,100","83,300",,,,
"Saturday, September 5, 2020","1,512,300","1,421,500","83,200",,,,
"Sunday, September 6, 2020","1,509,400","1,420,000","83,200",,,,
"Monday, September 7, 2020","1,501,700","1,416,500","83,300",,,,
"Tuesday, September 8, 2020","1,498,000","1,414,200","83,100",,,,
"Wednesday, September 9, 2020","1,497,000","1,413,400","83,100",,,,
"Thursday, September 10, 2020","1,495,700","1,412,500","83,100",,,,
"Friday, September 11, 2020","1,494,100","1,411,300","83,100",,,,
"Saturday, September 12, 2020","1,491,300","1,408,900","83,100",,,,
"Sunday, September 13, 2020","1,490,100","1,407,500","82,700",,,,
"Monday, September 14, 2020","1,478,700","1,398,700","80,900",,,,
"Tuesday, September 15, 2020","1,475,800","1,396,300","81,000",,,,
"Wednesday, September 16, 2020","1,474,200","1,395,100","81,000",,,,
"Thursday, September 17, 2020","1,473,100","1,394,300","81,000",,,,
"Friday, September 18, 2020","1,470,100","1,391,500","81,100",,,,
"Saturday, September 19, 2020","1,466,800","1,388,400","81,000",,,,
"Sunday, September 20, 2020","1,465,200","1,387,200","79,200",,,,
"Monday, September 21, 2020","1,460,500","1,384,100","78,900",,,,
"Tuesday, September 22, 2020","1,458,400","1,382,500","79,000",,,,
"Wednesday, September 23, 2020","1,457,200","1,381,500","79,500",,,,
"Thursday, September 24, 2020","1,455,500","1,380,300","79,400",,,,
"Friday, September 25, 2020","1,453,200","1,378,000","79,500",,,,
"Saturday, September 26, 2020","1,441,200","1,367,300","78,900",,,,
"Sunday, September 27, 2020","1,436,300","1,364,600","78,500",,,,
"Monday, September 28, 2020","1,428,100","1,356,600","78,800",,,,
"Tuesday, September 29, 2020","1,421,500","1,350,100","78,700",,,,
"Wednesday, September 30, 2020","1,418,000","1,346,800","78,700",,,,
"Thursday, October 1, 2020","1,275,200","1,218,300","39,300",,,,
"Friday, October 2, 2020","1,275,500","1,218,700","39,300",,,,
"Saturday, October 3, 2020","1,275,000","1,218,000","39,100",,,,
"Sunday, October 4, 2020","1,274,500","1,217,900","38,600",,,,
"Monday, October 5, 2020","1,279,100","1,221,500","39,500",,,,
"Tuesday, October 6, 2020","1,278,100","1,220,900","39,000",,,,
"Wednesday, October 7, 2020","1,277,800","1,220,700","38,900",,,,
"Thursday, October 8, 2020","1,277,800","1,220,900","38,900",,,,
"Friday, October 9, 2020","1,277,600","1,220,600","38,800",,,,
"Saturday, October 10, 2020","1,277,900","1,220,100","38,800",,,,
"Sunday, October 11, 2020","1,277,100","1,220,100","38,700",,,,
"Monday, October 12, 2020","1,275,500","1,218,900","38,300",,,,
"Tuesday, October 13, 2020","1,274,600","1,218,200","38,300",,,,
"Wednesday, October 14, 2020","1,274,300","1,218,000","38,300",,,,
"Thursday, October 15, 2020","1,273,300","1,217,100","38,300",,,,
"Friday, October 16, 2020","1,269,700","1,213,400","38,300",,,,
"Saturday, October 17, 2020","1,268,300","1,212,800","38,600",,,,
"Sunday, October 18, 2020","1,267,400","1,212,300","38,800",,,,
"Monday, October 19, 2020","1,267,800","1,213,300","38,000",,,,
"Tuesday, October 20, 2020","1,266,100","1,212,500","37,900",,,,
"Wednesday, October 21, 2020","1,264,600","1,211,300","38,000",,,,
"Thursday, October 22, 2020","1,263,300","1,210,100","37,900",,,,
"Friday, October 23, 2020","1,262,700","1,209,300","37,900",,,,
"Saturday, October 24, 2020","1,261,600","1,207,400","37,800",,,,
"Sunday, October 25, 2020","1,259,700","1,206,700","37,000",,,,
"Monday, October 26, 2020","1,238,400","1,187,500","76,000",,,,
"Tuesday, October 27, 2020","1,236,400","1,185,500","76,000",,,,
"Wednesday, October 28, 2020","1,235,200","1,184,400","75,900",,,,
"Thursday, October 29, 2020","1,230,600","1,181,300","75,900",,,,
"Friday, October 30, 2020","1,227,200","1,177,900","75,800",,,,
"Saturday, October 31, 2020","1,188,300","1,136,400","74,900",,,,
"Sunday, November 1, 2020","1,819,100","1,746,200","154,700",,,,
"Monday, November 2, 2020","1,835,100","1,761,900","154,800",,,,
"Tuesday, November 3, 2020","1,837,600","1,764,000","154,800",,,,
"Wednesday, November 4, 2020","1,844,200","1,769,000","154,800",,,,
"Thursday, November 5, 2020","2,006,600","1,857,600","156,300",,,,
"Friday, November 6, 2020","2,023,400","1,871,000","156,400",,,,
"Saturday, November 7, 2020","2,031,900","1,876,200","156,600",,,,
"Sunday, November 8, 2020","2,044,600","1,883,900","156,400",,,,
"Monday, November 9, 2020","2,061,600","1,904,500","156,400",,,,
"Tuesday, November 10, 2020","2,061,300","1,904,800","156,400",,,,
"Wednesday, November 11, 2020","2,063,100","1,906,000","156,400",,,,
"Thursday, November 12, 2020","2,062,400","1,906,300","156,600",,,,
"Friday, November 13, 2020","2,059,200","1,904,300","156,500",,,,
"Saturday, November 14, 2020","2,058,500","1,904,000","156,500",,,,
"Sunday, November 15, 2020","2,058,600","1,904,300","157,900",,,,
"Monday, November 16, 2020","2,054,500","1,903,400","158,400",,,,
"Tuesday, November 17, 2020","2,053,100","1,902,900","159,000",,,,
"Wednesday, November 18, 2020","2,052,700","1,902,600","159,000",,,,
"Thursday, November 19, 2020","2,052,300","1,902,500","159,000",,,,
"Friday, November 20, 2020","2,052,100","1,902,800","159,000",,,,
"Saturday, November 21, 2020","2,051,300","1,901,200","158,200",,,,
"Sunday, November 22, 2020","2,049,100","1,898,900","158,000",,,,
"Monday, November 23, 2020","2,044,200","1,894,600","157,100",,,,
"Tuesday, November 24, 2020","2,041,900","1,892,500","157,100",,,,
"Wednesday, November 25, 2020","2,039,000","1,890,500","157,200",,,,
"Thursday, November 26, 2020","2,033,600","1,886,200","156,700",,,,
"Friday, November 27, 2020","2,031,200","1,883,300","156,700",,,,
"Saturday, November 28, 2020","2,010,300","1,863,000","156,300",,,,
"Sunday, November 29, 2020","1,985,800","1,847,700","155,300",,,,
"Monday, November 30, 2020","1,920,200","1,793,300","154,700",,,,
"Tuesday, December 1, 2020","1,902,700","1,868,800","91,800",p,,,
"Wednesday, December 2, 2020","1,901,100","1,868,300","91,800",p,,,
"Thursday, December 3, 2020","1,894,100","1,864,000","91,800",p,,,
"Friday, December 4, 2020","1,891,600","1,863,200","91,800",p,,,
"Saturday, December 5, 2020","1,890,800","1,862,400","91,900",p,,,
"Sunday, December 6, 2020","1,888,700","1,861,600","91,800",p,,,
"Monday, December 7, 2020","1,882,900","1,858,200","93,000",p,,,
"Tuesday, December 8, 2020","1,879,500","1,856,400","92,900",p,,,
"Wednesday, December 9, 2020","1,878,000","1,855,900","92,900",p,,,
"Thursday, December 10, 2020","1,877,200","1,855,300","93,100",p,,,
"Friday, December 11, 2020","1,875,400","1,854,100","93,200",p,,,
"Saturday, December 12, 2020","1,874,600","1,853,500","93,200",p,,,
"Sunday, December 13, 2020","1,870,700","1,850,500","92,900",p,,,
"Monday, December 14, 2020","1,872,900","1,853,200","94,000",p,,,
"Tuesday, December 15, 2020","1,871,800","1,852,200","94,200",p,,,
"Wednesday, December 16, 2020","1,873,500","1,853,700","94,200",p,,,
"Thursday, December 17, 2020","1,874,300","1,855,500","94,300",p,,,
"Friday, December 18, 2020","1,874,900","1,856,200","94,200",p,,,
"Saturday, December 19, 2020","1,879,700","1,860,700","94,200",p,,,
"Sunday, December 20, 2020","1,896,300","1,871,500","95,400",p,,,
"Monday, December 21, 2020","1,913,300","1,884,500","94,300",p,,,
"Tuesday, December 22, 2020","1,916,400","1,887,100","94,200",p,,,
"Wednesday, December 23, 2020","1,918,200","1,888,500","94,200",p,,,
"Thursday, December 24, 2020","1,918,500","1,889,100","94,300",p,,,
"Friday, December 25, 2020","1,925,700","1,889,900","94,400",p,,,
"Saturday, December 26, 2020","1,923,700","1,886,400","94,600",p,,,
"Sunday, December 27, 2020","1,923,000","1,886,300","94,700",p,,,
"Monday, December 28, 2020","1,917,200","1,881,100","93,700",p,,,
"Tuesday, December 29, 2020","1,906,500","1,871,500","93,600",p,,,
"Wednesday, December 30, 2020","1,900,600","1,865,600","93,800",p,,,
"Thursday, December 31, 2020","1,883,500","1,847,600","93,300",p,,,
Source: HMRC CJRS and PAYE Real Time Information,,,,,,,
Table notes:,,,,,,,
1.  Gender has been taken from HMRC administrative data.,,,,,,,
"2.  Where a CJRS claim has not been able to match to other HMRC data, it has been reported as ‘Unknown’.",,,,,,,
