areaCode,areaName,areaType,date,newCasesBySpecimenDate
E08000001,Bolton,ltla,2021-09-17,86
E08000009,Trafford,ltla,2021-09-17,116
E08000016,Barnsley,ltla,2021-09-17,197
E08000032,Bradford,ltla,2021-09-17,248
E09000003,Barnet,ltla,2021-09-17,137
E09000018,Hounslow,ltla,2021-09-17,114
E09000032,Wandsworth,ltla,2021-09-17,105
E09000033,Westminster,ltla,2021-09-17,52
S12000045,East Dunbartonshire,ltla,2021-09-17,90
W06000023,Powys,ltla,2021-09-17,67
E06000003,Redcar and Cleveland,ltla,2021-09-16,68
E07000040,East Devon,ltla,2021-09-16,49
E07000090,Havant,ltla,2021-09-16,59
E07000214,Surrey Heath,ltla,2021-09-16,30
E07000229,Worthing,ltla,2021-09-16,13
E08000001,Bolton,ltla,2021-09-16,71
E08000009,Trafford,ltla,2021-09-16,107
E08000016,Barnsley,ltla,2021-09-16,172
E08000032,Bradford,ltla,2021-09-16,258
E09000003,Barnet,ltla,2021-09-16,117
E09000018,Hounslow,ltla,2021-09-16,99
E09000032,Wandsworth,ltla,2021-09-16,82
E09000033,Westminster,ltla,2021-09-16,61
S12000045,East Dunbartonshire,ltla,2021-09-16,96
W06000023,Powys,ltla,2021-09-16,108
E06000003,Redcar and Cleveland,ltla,2021-09-15,62
E07000040,East Devon,ltla,2021-09-15,49
E07000090,Havant,ltla,2021-09-15,48
E07000214,Surrey Heath,ltla,2021-09-15,36
E07000229,Worthing,ltla,2021-09-15,32
E08000001,Bolton,ltla,2021-09-15,95
E08000009,Trafford,ltla,2021-09-15,128
E08000016,Barnsley,ltla,2021-09-15,166
E08000032,Bradford,ltla,2021-09-15,204
E09000003,Barnet,ltla,2021-09-15,144
E09000018,Hounslow,ltla,2021-09-15,123
E09000032,Wandsworth,ltla,2021-09-15,99
E09000033,Westminster,ltla,2021-09-15,65
S12000045,East Dunbartonshire,ltla,2021-09-15,101
W06000023,Powys,ltla,2021-09-15,85
E06000003,Redcar and Cleveland,ltla,2021-09-14,61
E07000040,East Devon,ltla,2021-09-14,58
E07000090,Havant,ltla,2021-09-14,44
E07000214,Surrey Heath,ltla,2021-09-14,35
E07000229,Worthing,ltla,2021-09-14,26
E08000001,Bolton,ltla,2021-09-14,104
E08000009,Trafford,ltla,2021-09-14,103
E08000016,Barnsley,ltla,2021-09-14,167
E08000032,Bradford,ltla,2021-09-14,234
E09000003,Barnet,ltla,2021-09-14,142
E09000018,Hounslow,ltla,2021-09-14,89
E09000032,Wandsworth,ltla,2021-09-14,98
E09000033,Westminster,ltla,2021-09-14,82
S12000045,East Dunbartonshire,ltla,2021-09-14,121
W06000023,Powys,ltla,2021-09-14,90
E06000003,Redcar and Cleveland,ltla,2021-09-13,90
E07000040,East Devon,ltla,2021-09-13,51
E07000090,Havant,ltla,2021-09-13,52
E07000214,Surrey Heath,ltla,2021-09-13,29
E07000229,Worthing,ltla,2021-09-13,45
E08000001,Bolton,ltla,2021-09-13,132
E08000009,Trafford,ltla,2021-09-13,123
E08000016,Barnsley,ltla,2021-09-13,198
E08000032,Bradford,ltla,2021-09-13,268
E09000003,Barnet,ltla,2021-09-13,139
E09000018,Hounslow,ltla,2021-09-13,137
E09000032,Wandsworth,ltla,2021-09-13,98
E09000033,Westminster,ltla,2021-09-13,68
